"Race","Sex","Age","International.migration"
"Total","Female","1",0.016
"Total","Female","2",0.016
"Total","Female","3",0.016
"Total","Female","4",0.016
"Total","Female","5",0.0148571428571429
"Total","Female","6",0.0148571428571429
"Total","Female","7",0.0148571428571429
"Total","Female","8",0.0148571428571429
"Total","Female","9",0.0148571428571429
"Total","Female","10",0.0144
"Total","Female","11",0.0144
"Total","Female","12",0.0144
"Total","Female","13",0.0144
"Total","Female","14",0.0144
"Total","Female","15",0.016
"Total","Female","16",0.016
"Total","Female","17",0.016
"Total","Female","18",0.016
"Total","Female","19",0.016
"Total","Female","20",0.0192
"Total","Female","21",0.0192
"Total","Female","22",0.0192
"Total","Female","23",0.0192
"Total","Female","24",0.0192
"Total","Female","25",0.0226285714285714
"Total","Female","26",0.0226285714285714
"Total","Female","27",0.0226285714285714
"Total","Female","28",0.0226285714285714
"Total","Female","29",0.0226285714285714
"Total","Female","30",0.0217142857142857
"Total","Female","31",0.0217142857142857
"Total","Female","32",0.0217142857142857
"Total","Female","33",0.0217142857142857
"Total","Female","34",0.0217142857142857
"Total","Female","35",0.0173714285714286
"Total","Female","36",0.0173714285714286
"Total","Female","37",0.0173714285714286
"Total","Female","38",0.0173714285714286
"Total","Female","39",0.0173714285714286
"Total","Female","40",0.0137142857142857
"Total","Female","41",0.0137142857142857
"Total","Female","42",0.0137142857142857
"Total","Female","43",0.0137142857142857
"Total","Female","44",0.0137142857142857
"Total","Female","45",0.0114285714285714
"Total","Female","46",0.0114285714285714
"Total","Female","47",0.0114285714285714
"Total","Female","48",0.0114285714285714
"Total","Female","49",0.0114285714285714
"Total","Female","50",0.0109714285714286
"Total","Female","51",0.0109714285714286
"Total","Female","52",0.0109714285714286
"Total","Female","53",0.0109714285714286
"Total","Female","54",0.0109714285714286
"Total","Female","55",0.00731428571428572
"Total","Female","56",0.00731428571428572
"Total","Female","57",0.00731428571428572
"Total","Female","58",0.00731428571428572
"Total","Female","59",0.00731428571428572
"Total","Female","60",0.00571428571428571
"Total","Female","61",0.00571428571428571
"Total","Female","62",0.00571428571428571
"Total","Female","63",0.00571428571428571
"Total","Female","64",0.00571428571428571
"Total","Female","65",0.00571428571428571
"Total","Female","66",0.00571428571428571
"Total","Female","67",0.00571428571428571
"Total","Female","68",0.00571428571428571
"Total","Female","69",0.00571428571428571
"Total","Female","70",0.00297142857142857
"Total","Female","71",0.00297142857142857
"Total","Female","72",0.00297142857142857
"Total","Female","73",0.00297142857142857
"Total","Female","74",0.00297142857142857
"Total","Female","75",0
"Total","Female","76",0
"Total","Female","77",0
"Total","Female","78",0
"Total","Female","79",0
"Total","Female","80",0
"Total","Female","81",0
"Total","Female","82",0
"Total","Female","83",0
"Total","Female","84",0
"Total","Female","85",0
"Total","Female","86",0
"Total","Female","87",0
"Total","Female","88",0
"Total","Female","89",0
"Total","Female","90",0
"Total","Female","91",0
"Total","Female","92",0
"Total","Female","93",0
"Total","Female","94",0
"Total","Female","95",0
"Total","Female","96",0
"Total","Female","97",0
"Total","Female","98",0
"Total","Female","99",0
"Total","Female","100+",0
